category,median_of_medians,deviation_of_medians
B,5.14,0.9500000000000002
D,5.14,0.75
C,5.14,0.41000000000000014
C,5.14,0.41000000000000014
A,5.14,0.6200000000000001
A,5.14,0.6200000000000001
A,5.14,0.6200000000000001
B,5.14,0.9500000000000002
C,5.14,0.41000000000000014
A,5.14,0.6200000000000001
D,5.14,0.75
D,5.14,0.75
B,5.14,0.9500000000000002
B,5.14,0.9500000000000002
A,5.14,0.6200000000000001
D,5.14,0.75
B,5.14,0.9500000000000002
B,5.14,0.9500000000000002
A,5.14,0.6200000000000001
B,5.14,0.9500000000000002
D,5.14,0.75
B,5.14,0.9500000000000002
B,5.14,0.9500000000000002
C,5.14,0.41000000000000014
A,5.14,0.6200000000000001
D,5.14,0.75
C,5.14,0.41000000000000014
A,5.14,0.6200000000000001
B,5.14,0.9500000000000002
D,5.14,0.75
D,5.14,0.75
C,5.14,0.41000000000000014
A,5.14,0.6200000000000001
C,5.14,0.41000000000000014
A,5.14,0.6200000000000001
D,5.14,0.75
B,5.14,0.9500000000000002
D,5.14,0.75
D,5.14,0.75
C,5.14,0.41000000000000014
C,5.14,0.41000000000000014
D,5.14,0.75
D,5.14,0.75
B,5.14,0.9500000000000002
B,5.14,0.9500000000000002
C,5.14,0.41000000000000014
C,5.14,0.41000000000000014
C,5.14,0.41000000000000014
B,5.14,0.9500000000000002
A,5.14,0.6200000000000001
