category,median_of_medians,deviation_of_medians
B,4.94,0.22000000000000064
D,4.94,0.4899999999999993
B,4.94,0.22000000000000064
D,4.94,0.4899999999999993
C,4.94,0.1200000000000001
A,4.94,0.14000000000000057
B,4.94,0.22000000000000064
D,4.94,0.4899999999999993
C,4.94,0.1200000000000001
B,4.94,0.22000000000000064
D,4.94,0.4899999999999993
C,4.94,0.1200000000000001
A,4.94,0.14000000000000057
C,4.94,0.1200000000000001
A,4.94,0.14000000000000057
A,4.94,0.14000000000000057
B,4.94,0.22000000000000064
A,4.94,0.14000000000000057
A,4.94,0.14000000000000057
A,4.94,0.14000000000000057
C,4.94,0.1200000000000001
D,4.94,0.4899999999999993
A,4.94,0.14000000000000057
A,4.94,0.14000000000000057
C,4.94,0.1200000000000001
D,4.94,0.4899999999999993
A,4.94,0.14000000000000057
D,4.94,0.4899999999999993
D,4.94,0.4899999999999993
B,4.94,0.22000000000000064
D,4.94,0.4899999999999993
A,4.94,0.14000000000000057
C,4.94,0.1200000000000001
D,4.94,0.4899999999999993
C,4.94,0.1200000000000001
A,4.94,0.14000000000000057
B,4.94,0.22000000000000064
C,4.94,0.1200000000000001
D,4.94,0.4899999999999993
D,4.94,0.4899999999999993
D,4.94,0.4899999999999993
A,4.94,0.14000000000000057
B,4.94,0.22000000000000064
A,4.94,0.14000000000000057
D,4.94,0.4899999999999993
A,4.94,0.14000000000000057
D,4.94,0.4899999999999993
D,4.94,0.4899999999999993
B,4.94,0.22000000000000064
C,4.94,0.1200000000000001
