category,median_of_medians,deviation_of_medians
B,5.04,0.8600000000000003
D,5.04,0.16999999999999993
B,5.04,0.8600000000000003
B,5.04,0.8600000000000003
A,5.04,0.3200000000000003
D,5.04,0.16999999999999993
C,5.04,1.0
A,5.04,0.3200000000000003
C,5.04,1.0
C,5.04,1.0
D,5.04,0.16999999999999993
C,5.04,1.0
A,5.04,0.3200000000000003
D,5.04,0.16999999999999993
D,5.04,0.16999999999999993
C,5.04,1.0
D,5.04,0.16999999999999993
B,5.04,0.8600000000000003
C,5.04,1.0
B,5.04,0.8600000000000003
C,5.04,1.0
D,5.04,0.16999999999999993
A,5.04,0.3200000000000003
C,5.04,1.0
B,5.04,0.8600000000000003
C,5.04,1.0
B,5.04,0.8600000000000003
B,5.04,0.8600000000000003
B,5.04,0.8600000000000003
B,5.04,0.8600000000000003
D,5.04,0.16999999999999993
A,5.04,0.3200000000000003
B,5.04,0.8600000000000003
B,5.04,0.8600000000000003
A,5.04,0.3200000000000003
C,5.04,1.0
C,5.04,1.0
D,5.04,0.16999999999999993
C,5.04,1.0
D,5.04,0.16999999999999993
B,5.04,0.8600000000000003
A,5.04,0.3200000000000003
A,5.04,0.3200000000000003
B,5.04,0.8600000000000003
A,5.04,0.3200000000000003
C,5.04,1.0
D,5.04,0.16999999999999993
D,5.04,0.16999999999999993
B,5.04,0.8600000000000003
C,5.04,1.0
